time,reward
2019-01-03 22:00:00,0.0012885083
2019-01-03 22:30:00,0.006755623
2019-01-03 23:00:00,0.008343334
2019-01-03 23:30:00,0.0014392727
2019-04-15 00:00:00,-0.16848584
2019-04-15 00:30:00,-0.0019212503
2019-04-15 01:00:00,-0.0030187352
2019-04-15 01:30:00,0.0036417898
2019-04-15 02:00:00,0.0034584214
2019-04-15 02:30:00,-0.0037197853
2019-04-15 03:00:00,0.00055387313
2019-04-15 03:30:00,0.0004995549
2019-04-15 04:00:00,0.007665579
2019-04-15 04:30:00,-0.0046483497
2019-04-15 05:00:00,0.0061365915
2019-04-15 05:30:00,0.006134791
2019-04-15 06:00:00,-0.002542858
2019-04-15 06:30:00,-0.008282821
2019-04-15 07:00:00,0.0002232797
2019-04-15 07:30:00,-0.002967187
2019-04-15 08:00:00,-0.0053324937
2019-04-15 08:30:00,0.0041290405
2019-04-15 09:00:00,-0.006865048
2019-04-15 09:30:00,0.0022620806
2019-04-15 10:00:00,-0.00037812
2019-04-15 10:30:00,-0.02759296
2019-04-15 11:00:00,-0.012323381
2019-04-15 11:30:00,0.008154676
2019-04-15 12:00:00,-0.00984018
2019-04-15 12:30:00,-0.009273199
2019-04-15 13:00:00,0.0135674
2019-04-15 13:30:00,-0.0040777135
2019-04-15 14:00:00,-0.0013120715
2019-04-15 14:30:00,0.013163532
2019-04-15 15:00:00,-0.010213332
2019-04-15 15:30:00,-0.009731891
2019-04-15 16:00:00,0.009892369
2019-04-15 16:30:00,-0.0042356085
2019-04-15 17:00:00,-0.0029354356
2019-04-15 17:30:00,-0.05396663
2019-04-15 18:00:00,-0.00026945863
2019-04-15 18:30:00,0.013901215
2019-04-15 19:00:00,-0.008791879
2019-04-15 19:30:00,-0.007895412
2019-04-15 20:00:00,-0.008535098
2019-04-15 20:30:00,0.023351561
2019-04-15 21:00:00,-0.0035188084
2019-04-15 21:30:00,-0.00023932941
2019-04-15 22:00:00,-0.004328955
2019-04-15 22:30:00,0.010950625
2019-04-15 23:00:00,-0.005550648
2019-04-15 23:30:00,0.012938426
2019-04-12 00:00:00,0.12856562
2019-04-12 00:30:00,-0.004759895
2019-04-12 01:00:00,0.014590822
2019-04-12 01:30:00,-0.04217034
2019-04-12 02:00:00,-0.023429992
2019-04-12 02:30:00,0.008254243
2019-04-12 03:00:00,-0.0011146837
2019-04-12 03:30:00,-0.005487009
2019-04-12 04:00:00,0.021496322
2019-04-12 04:30:00,0.0027429524
2019-04-12 05:00:00,-0.0011358338
2019-04-12 05:30:00,-0.015649002
2019-04-12 06:00:00,0.01934378
2019-04-12 06:30:00,-0.008334184
2019-04-12 07:00:00,-0.0069535524
2019-04-12 07:30:00,0.0009770438
2019-04-12 08:00:00,0.007004762
2019-04-12 08:30:00,-0.0037121607
2019-04-12 09:00:00,0.003140645
2019-04-12 09:30:00,-0.0031944485
2019-04-12 10:00:00,-0.0003502085
2019-04-12 10:30:00,0.041330732
2019-04-12 11:00:00,0.0059344973
2019-04-12 11:30:00,0.012546211
2019-04-12 12:00:00,0.00990524
2019-04-12 12:30:00,0.014998736
2019-04-12 13:00:00,-0.0017750552
2019-04-12 13:30:00,-0.011971032
2019-04-12 14:00:00,-0.010452319
2019-04-12 14:30:00,0.007023378
2019-04-12 15:00:00,-0.0020351973
2019-04-12 15:30:00,-0.00935355
2019-04-12 16:00:00,-0.0062117837
2019-04-12 16:30:00,0.017687015
2019-04-12 17:00:00,-0.00699287
2019-04-12 17:30:00,-0.000895482
2019-04-12 18:00:00,0.015120177
2019-04-12 18:30:00,-0.017146062
2019-04-12 19:00:00,-0.0006407489
2019-04-12 19:30:00,0.006234038
2019-04-12 20:00:00,-0.0007305732
2019-04-12 20:30:00,-0.019412901
2019-04-12 21:00:00,-0.006537653
2019-04-12 21:30:00,0.004402588
2019-04-12 22:00:00,-0.007216274
2019-04-12 22:30:00,0.003234974
2019-04-12 23:00:00,-0.000645726
2019-04-12 23:30:00,-0.0023736553
2019-02-21 00:00:00,0.24829921
2019-02-21 00:30:00,-0.0059957146
2019-02-21 01:00:00,0.00017259119
2019-02-21 01:30:00,0.0018912286
2019-02-21 02:00:00,-0.00030507357
2019-02-21 02:30:00,0.0023433524
2019-02-21 03:00:00,0.009292144
2019-02-21 03:30:00,0.0013727314
2019-02-21 04:00:00,-0.008366033
2019-02-21 04:30:00,-0.008561911
2019-02-21 05:00:00,0.003521428
2019-02-21 05:30:00,-0.010271891
2019-02-21 06:00:00,-0.0017496371
2019-02-21 06:30:00,-0.010370217
2019-02-21 07:00:00,0.0044924924
2019-02-21 07:30:00,-0.003158602
2019-02-21 08:00:00,0.0033108876
2019-02-21 08:30:00,-0.021414004
2019-02-21 09:00:00,-0.040756885
2019-02-21 09:30:00,-0.006339861
2019-02-21 10:00:00,0.002625749
2019-02-21 10:30:00,-0.012820594
2019-02-21 11:00:00,-0.0064681573
2019-02-21 11:30:00,0.0049590855
2019-02-21 12:00:00,0.0032262914
2019-02-21 12:30:00,-0.00095420703
2019-02-21 13:00:00,0.00016756996
2019-02-21 13:30:00,0.0029572896
2019-02-21 14:00:00,0.0061165933
2019-02-21 14:30:00,-0.014767235
2019-02-21 15:00:00,-0.0037511368
2019-02-21 15:30:00,0.0026643483
2019-02-21 16:00:00,0.008701456
2019-02-21 16:30:00,-0.0103527345
2019-02-21 17:00:00,-0.0062269806
2019-02-21 17:30:00,0.0040080952
2019-02-21 18:00:00,0.0019705726
2019-02-21 18:30:00,0.0031909947
2019-02-21 19:00:00,-0.004512374
2019-02-21 19:30:00,0.0022818057
2019-02-21 20:00:00,-0.0010514493
2019-02-21 20:30:00,0.000109793385
2019-02-21 21:00:00,0.0003782499
2019-02-21 21:30:00,0.008872961
2019-02-21 22:00:00,-0.0027889765
2019-02-21 22:30:00,0.003339366
2019-02-21 23:00:00,0.00090767816
2019-02-21 23:30:00,-0.0016800989
2019-02-26 00:00:00,0.04385159
2019-02-26 00:30:00,-0.02563434
2019-02-26 01:00:00,0.026145473
2019-02-26 01:30:00,0.004885218
2019-02-26 02:00:00,-0.004403767
2019-02-26 02:30:00,0.019991674
2019-02-26 03:00:00,-0.008863821
2019-02-26 03:30:00,-0.0049403626
2019-02-26 04:00:00,-0.005926313
2019-02-26 04:30:00,-0.0022325977
2019-02-26 05:00:00,-0.0069434685
2019-02-26 05:30:00,-0.006590669
2019-02-26 06:00:00,-0.0019974697
2019-02-26 06:30:00,-0.008464115
2019-02-26 07:00:00,-0.010405618
2019-02-26 07:30:00,0.018344674
2019-02-26 08:00:00,0.010547766
2019-02-26 08:30:00,-0.013380417
2019-02-26 09:00:00,-0.0061874758
2019-02-26 09:30:00,-0.0043160217
2019-02-26 10:00:00,0.016826529
2019-02-26 10:30:00,0.01123425
2019-02-26 11:00:00,-0.001983255
2019-02-26 11:30:00,-0.0061041648
2019-02-26 12:00:00,-0.00084923126
